sample	lane	machine
HT60_MB1W-30.sort.bam	3392_3	HiSeq2500
HT61_MB1W-31.sort.bam	3393_8	HiSeq2500
HT62_MK1-20.sort.bam	3392_3	HiSeq2500
HT63_MK3-6.sort.bam	3392_3	HiSeq2500
HT64_MK4-3.sort.bam	3441_6	HiSeq2500
HT64_MK4-3.sort.bam	3392_3	HiSeq2500
HT65_MK6-5.sort.bam	3441_5	HiSeq2500
HT65_MK6-5.sort.bam	3392_3	HiSeq2500
HT66_MK6-17.sort.bam	3392_4	HiSeq2500
HT68_MO1W-7.sort.bam	3392_3	HiSeq2500
HT69_ND1A-16.sort.bam	3392_3	HiSeq2500
HT71_P-002.sort.bam	3392_4	HiSeq2500
HT73_SD1A-28.sort.bam	3392_4	HiSeq2500
HT78_MK1-17.sort.bam	3392_4	HiSeq2500
HT79_MK1-21.sort.bam	3393_8	HiSeq2500
HT81_MK2-14.sort.bam	3392_5	HiSeq2500
HT82_N_MK2-25.sort.bam	3441_6	HiSeq2500
HT82_N_MK2-25.sort.bam	3393_6	HiSeq2500
HT84_MK3-32.sort.bam	3392_4	HiSeq2500
HT85_MK3-49.sort.bam	3392_5	HiSeq2500
HT86_MK4-1.sort.bam	3441_5	HiSeq2500
HT86_MK4-1.sort.bam	3392_5	HiSeq2500
HT87_MK4-16.sort.bam	3441_5	HiSeq2500
HT87_MK4-16.sort.bam	3392_5	HiSeq2500
HT9_MK6-20.sort.bam	3392_4	HiSeq2500
HT90_MK6-2.sort.bam	3392_5	HiSeq2500
HT92_MK7-2.sort.bam	3392_4	HiSeq2500
HT93_ND1W-33.sort.bam	3441_7	HiSeq2500
HT93_ND1W-33.sort.bam	3392_4	HiSeq2500
HT94_SD2A-4.sort.bam	3392_4	HiSeq2500
HT96_SD2A-30STAR.sort.bam	3441_6	HiSeq2500
HT96_SD2A-30STAR.sort.bam	3392_7	HiSeq2500
HT97_SD2A-35.sort.bam	3392_5	HiSeq2500
HT99_SK1A-39.sort.bam	3392_5	HiSeq2500
Q004B_SD1A-1.sort.bam	3577_7	X10
Q004B_SD1A-1.sort.bam	3564_7	X10
Q017B_KS2W-6_1R.sort.bam	3577_6	X10
Q017B_KS2W-6_1R.sort.bam	3564_6	X10
Q021B_IA1W-2.sort.bam	3577_6	X10
Q021B_IA1W-2.sort.bam	3564_6	X10
Q027_SD1A-4.sort.bam	3577_6	X10
Q027_SD1A-4.sort.bam	3564_6	X10
Q029B_SD1A38.sort.bam	3577_6	X10
Q029B_SD1A38.sort.bam	3564_6	X10
Q036B_KS1W-19.sort.bam	3579_1	X10
Q036B_KS1W-19.sort.bam	3564_8	X10
Q038_KS1A-25R.sort.bam	3577_6	X10
Q038_KS1A-25R.sort.bam	3564_6	X10
Q041_KS1W-24.sort.bam	3577_6	X10
Q041_KS1W-24.sort.bam	3564_6	X10
Q042_KS1W-35.sort.bam	3577_7	X10
Q042_KS1W-35.sort.bam	3564_7	X10
Q046_KS2W-24.sort.bam	3577_6	X10
Q046_KS2W-24.sort.bam	3564_6	X10
Q052B-KS2W-15.sort.bam	3577_6	X10
Q052B-KS2W-15.sort.bam	3564_6	X10
Q053B_IA1A-4_2.sort.bam	3577_7	X10
Q053B_IA1A-4_2.sort.bam	3564_7	X10
Q074_IA1A-11B.sort.bam	3577_6	X10
Q074_IA1A-11B.sort.bam	3564_6	X10
Q075_IA1W-1.sort.bam	3577_6	X10
Q075_IA1W-1.sort.bam	3564_6	X10
Q076_IA1W-11.sort.bam	3577_7	X10
Q076_IA1W-11.sort.bam	3564_7	X10
Q076C_SD2W-23.sort.bam	3577_7	X10
Q076C_SD2W-23.sort.bam	3564_7	X10
Q077_IA1W-21.sort.bam	3579_1	X10
Q077_IA1W-21.sort.bam	3564_8	X10
Q079_KS1A-15.sort.bam	3577_7	X10
Q079_KS1A-15.sort.bam	3564_7	X10
Q080_KS1A-36.sort.bam	3577_7	X10
Q080_KS1A-36.sort.bam	3564_7	X10
Q081_KS2A-6.sort.bam	3577_7	X10
